platform, dataset_size, operation_type, job_id                                    , duration_seconds, mb_processed            , total_slots_ms, avg_slot_utilization , table_id                                , row_count, cost_usd, timestamp
BigQuery, tiny        , LOAD_COST     , SUMMARY                                   ,            0.0  ,   78.90023040771484     ,            0.0,  0.0                 , LOAD_TOTAL                              ,          , 0.000496, 2025-06-22 08:07:46
BigQuery, tiny        , LOAD          , bqjob_r44e4e38a86fe6bb3_0000019796ab3084_1,            1.84 ,    0.016936302185058594 ,          363  ,  0.19728260869565217 , allergies                               ,       100,         , 2025-06-22 08:04:52
BigQuery, tiny        , LOAD          , bqjob_r73f5294e2d2541f7_0000019796ab5583_1,            2.004,    0.08326435089111328  ,          355  ,  0.17714570858283432 , careplans                               ,       437,         , 2025-06-22 08:05:00
BigQuery, tiny        , LOAD          , bqjob_r5467179a96fdb617_0000019796ab7067_1,            2.686,    4.11042594909668     ,          834  ,  0.3104988830975428  , claims                                  ,     11973,         , 2025-06-22 08:05:07
BigQuery, tiny        , LOAD          , bqjob_r3000dcb75fe7925b_0000019796ab907a_1,            5.289,   49.76309776306152     ,         7730  ,  1.461523917564757   , claims_transactions                     ,    111049,         , 2025-06-22 08:05:16
BigQuery, tiny        , LOAD          , bqjob_r44073ba558564a40_0000019796abb91e_1,            1.783,    0.649989128112793    ,          789  ,  0.44251261918115536 , conditions                              ,      4428,         , 2025-06-22 08:05:26
BigQuery, tiny        , LOAD          , bqjob_r50afa1a1307e3aa2_0000019796abd37e_1,            1.859,    0.14449310302734375  ,          145  ,  0.07799892415277031 , devices                                 ,       732,         , 2025-06-22 08:05:33
BigQuery, tiny        , LOAD          , bqjob_r2c7919138979940d_0000019796abedd5_1,            2.097,    1.9811182022094727   ,          458  ,  0.2184072484501669  , encounters                              ,      6621,         , 2025-06-22 08:05:39
BigQuery, tiny        , LOAD          , bqjob_r2b786b34b3cd6f7f_0000019796ac08bd_1,            1.634,    0.32660388946533203  ,          118  ,  0.07221542227662178 , imaging_studies                         ,       913,         , 2025-06-22 08:05:46
BigQuery, tiny        , LOAD          , bqjob_r5df096d080934b0_0000019796ac2234_1 ,            1.864,    0.21688270568847656  ,          117  ,  0.06276824034334764 , immunizations                           ,      1564,         , 2025-06-22 08:05:53
BigQuery, tiny        , LOAD          , bqjob_r7850742560d6d785_0000019796ac3c88_1,            1.745,    1.2859077453613281   ,          187  ,  0.10716332378223496 , medications                             ,      5352,         , 2025-06-22 08:05:59
BigQuery, tiny        , LOAD          , bqjob_r46d3573e6d61bc43_0000019796ac5e59_1,            3.046,   15.707666397094727    ,         2724  ,  0.8942875902823375  , observations                            ,     96124,         , 2025-06-22 08:06:08
